#{"t_start": 1724744570.4560468, "env_id": "CustomHopper-source-v0"}
r,l,t
212.219062,100,36.610563
224.141891,99,36.66025
214.877381,92,36.707944
202.157787,90,36.778018
201.683143,90,36.808348
201.866787,90,36.839168
204.197965,91,36.870311
202.253875,90,36.901956
229.099525,100,37.548981
271.662895,116,37.605148
207.125279,91,37.649061
199.880707,93,37.694657
191.868686,88,37.736941
188.967882,90,37.780093
194.972556,84,37.82205
223.892195,96,37.867903
204.293296,92,37.913229
236.824008,102,37.962073
234.370385,105,38.013317
196.868769,90,38.056385
215.903439,105,38.107678
196.582049,89,38.150218
94.154468,53,38.176181
203.428788,89,38.220318
185.326969,89,38.263308
258.469776,105,38.314505
232.458166,101,38.362673
205.013195,92,38.408264
234.082155,103,38.457718
203.202497,90,38.50225
253.726966,108,39.148325
212.141204,95,39.193918
231.17939,104,39.244447
226.365568,100,39.291944
217.930396,97,39.339142
142.438814,70,39.372774
195.963717,88,39.41616
254.897617,104,39.465625
205.928079,101,39.514883
212.774522,98,39.564584
178.346964,86,39.607054
194.458787,95,39.652352
222.115382,99,39.69992
197.458983,94,39.74609
207.034391,94,39.791297
225.046809,96,39.838172
281.843452,113,39.892257
218.57862,107,39.944693
207.618658,92,39.98886
200.51933,93,40.03464
201.742382,96,40.081905
226.149812,100,40.761859
206.684204,99,40.812855
191.587281,91,40.861204
278.710361,109,40.917191
214.442564,105,40.972378
205.402462,95,41.02246
256.155899,114,41.080501
216.330034,92,41.129127
290.790763,116,41.220678
291.428948,116,41.260731
292.126778,116,41.29962
290.737893,116,41.340037
291.545513,116,41.379097
232.770251,105,41.442657
165.684444,80,41.48426
220.267135,97,41.535457
240.264344,109,41.593673
209.546676,105,41.649232
203.813117,101,41.701173
193.991224,85,41.746516
176.046135,84,41.789933
226.266049,101,41.843067
200.341882,95,41.892352
240.976944,105,41.947393
248.801844,114,42.005602
298.061849,125,42.668303
277.666745,114,42.722274
293.295753,122,42.780895
114.798592,55,42.80755
309.735631,130,42.869817
226.042697,102,42.918325
172.177087,81,42.958645
229.08867,100,43.006471
160.955771,84,43.047777
122.865007,60,43.076542
181.340377,92,43.120586
244.190667,109,43.173757
288.757349,128,43.234576
250.466938,109,43.28713
227.648339,99,43.334868
237.434928,115,43.390705
302.776872,124,43.450511
259.848672,114,43.504509
280.921508,120,43.565396
253.902426,112,44.208422
248.347589,107,44.26464
329.787027,136,44.3331
283.397169,122,44.396059
312.635227,126,44.459719
125.008166,69,44.496394
237.175457,105,44.552606
293.219633,121,44.615111
92.804514,45,44.638938
250.441284,100,44.691465
102.460569,54,44.719769
186.689428,98,44.771374
228.292464,116,44.830022
282.571433,125,44.894072
238.813198,107,44.948747
285.267466,112,45.006138
335.381635,130,45.073198
295.504461,121,45.140176
297.916901,122,45.182018
296.767461,122,45.223095
300.925895,122,45.264258
294.630042,121,45.305829
276.61586,114,45.373424
204.016508,105,45.426798
200.538602,87,46.100534
192.735296,92,46.148256
262.438738,117,46.209216
307.204491,131,46.27558
245.217552,117,46.337102
242.906467,115,46.3907
91.925803,50,46.414833
250.262215,112,46.467403
191.092692,95,46.513819
262.135559,137,46.581219
231.080607,119,46.638647
228.380203,98,46.6856
308.162775,125,46.745143
260.333826,114,46.800902
270.587187,117,46.856347
210.536268,109,46.908802
333.957408,136,46.972551
318.899685,131,47.035398
206.856113,102,47.084373
238.947665,114,47.737538
191.619868,94,47.782685
225.56727,115,47.83842
258.996708,120,47.895735
308.033924,127,47.957036
228.090931,98,48.005577
218.649094,101,48.053416
219.040013,105,48.10279
113.70329,56,48.130912
280.184628,126,48.190262
344.681316,133,48.253914
276.020998,113,48.308463
339.500497,134,48.371189
252.099195,114,48.425953
296.276036,125,48.484239
214.084058,105,48.535428
217.298769,102,48.585717
223.520622,108,48.638291
288.915277,129,49.30936
325.217631,146,49.37928
101.001221,49,49.403488
283.762172,128,49.465356
362.426483,137,49.531074
322.83854,136,49.624164
320.613996,135,49.666458
322.35786,136,49.709054
322.001699,136,49.752942
324.876692,137,49.795773
355.801742,137,49.868966
286.990954,131,49.932132
318.930907,145,50.000998
323.301787,137,50.066706
307.999397,137,50.133059
318.166934,156,50.206846
291.666477,126,50.268042
304.186115,135,50.333417
135.95722,68,50.366377
295.691957,126,50.425871
217.708482,111,50.479822
324.572089,141,51.146879
63.308117,34,51.164517
282.00747,126,51.227804
322.094523,124,51.29182
212.213459,95,51.340789
163.585157,77,51.381752
118.778158,61,51.413524
310.025075,132,51.481539
314.176984,126,51.548328
318.352666,149,51.623402
337.8861,156,51.703138
322.729114,147,51.77929
217.914725,115,51.838787
294.996989,124,51.904028
188.933142,90,51.950253
294.103373,133,52.01914
345.226928,130,52.086108
319.056519,153,52.75694
206.115507,93,52.802452
255.152228,122,52.860151
280.422578,130,52.922337
223.703147,98,52.970063
218.335963,100,53.017917
302.299811,137,53.083066
402.152841,175,53.164526
301.48513,131,53.226907
328.513915,145,53.296352
376.611913,144,53.364362
379.721362,168,53.444567
367.910119,147,53.508542
363.527839,146,53.556253
363.720083,146,53.602419
368.387471,147,53.64773
365.387147,146,53.69398
129.687925,72,53.7365
361.540585,150,53.808924
423.777114,165,53.887691
302.813662,126,53.947467
483.3591,177,54.630417
330.555626,138,54.696958
223.160048,121,54.755116
329.85665,144,54.824453
365.89932,135,54.889459
300.366065,131,54.950862
175.41418,84,54.992144
104.81863,56,55.019239
317.48216,120,55.075999
98.383705,53,55.103079
314.00631,128,55.163436
342.070417,132,55.226356
112.763622,65,55.257651
165.716799,80,55.297551
286.746501,120,55.354322
131.524068,67,55.386835
368.81646,155,55.460648
153.932933,82,55.501396
334.318663,161,56.177342
352.968832,132,56.24186
299.47264,122,56.300515
322.134361,133,56.365251
344.262093,139,56.432685
277.013161,123,56.491628
254.636382,113,56.549194
335.418898,152,56.623588
146.272946,82,56.663931
365.98862,147,56.735658
249.007718,119,56.792689
275.195844,126,56.854013
188.802338,99,56.902436
345.134556,143,56.971404
365.517732,143,57.044397
